N,P,K,temperature,humidity,ph,rainfall,label
23.637,9.787,15.301,23.162,67.24,6.307,151,tomato
26.871,10.176,14.526,23.141,66.446,6.299,148,tomato
24.932,10.052,15.079,23.075,62.759,6.306,148,tomato
25.272,9.506,13.015,23.816,65.043,6.289,149,tomato
25.287,9.597,13.174,23.878,62.735,6.298,149,tomato
26.415,10.041,15.589,23.943,65.037,6.31,149,tomato
25.866,10.244,13.387,23.904,64.008,6.293,148,tomato
26.75,10.624,14.152,23.708,66.455,6.293,148,tomato
24.995,9.876,15.483,23.756,65.641,6.305,148,tomato
24.36,10.422,16.158,23.642,66.089,6.303,148,tomato
25.351,9.311,15.197,23.037,66.655,6.293,150,tomato
26.557,10.158,15.463,23.506,63.573,6.307,151,tomato
24.723,10.599,15.022,23.295,67.488,6.312,149,tomato
24.894,9.891,13.395,23.199,67.144,6.299,150,tomato
25.455,10.439,14.538,23.087,67.112,6.291,150,tomato
24.756,10.97,13.692,23.45,64.029,6.288,150,tomato
26.655,9.839,15.137,23.928,62.566,6.301,151,tomato
25.244,9.013,13.684,23.258,66.748,6.305,149,tomato
25.583,10.379,16.537,23.404,66.923,6.311,151,tomato
23.004,9.043,15.838,23.361,64.336,6.29,151,tomato
23.539,10.274,14.062,23.696,63.087,6.3,151,tomato
25.893,10.092,16.811,23.544,64.064,6.296,148,tomato
25.858,9.537,15.344,23.344,66.0,6.289,151,tomato
26.979,10.312,13.45,23.651,64.51,6.311,148,tomato
25.825,9.692,13.249,23.711,62.759,6.302,149,tomato
24.095,10.282,15.701,23.63,63.019,6.296,151,tomato
23.259,10.706,13.081,23.827,65.078,6.309,149,tomato
26.604,10.32,15.791,23.095,66.368,6.305,149,tomato
25.061,9.309,16.613,23.35,65.277,6.291,151,tomato
24.147,10.235,15.297,23.97,66.947,6.295,151,tomato
24.886,10.898,14.868,23.007,62.596,6.289,149,tomato
24.993,10.403,15.149,23.935,67.226,6.294,151,tomato
26.541,10.013,14.117,23.449,63.682,6.304,149,tomato
25.639,9.94,16.399,23.757,64.481,6.302,151,tomato
26.959,10.896,14.567,23.941,66.801,6.29,148,tomato
24.353,10.215,13.904,23.663,62.501,6.305,149,tomato
26.676,10.817,13.546,23.644,66.488,6.294,148,tomato
25.778,9.303,16.041,23.415,62.723,6.311,151,tomato
23.187,9.235,15.143,23.984,66.13,6.309,150,tomato
23.098,9.896,16.402,23.855,64.794,6.299,150,tomato
26.822,9.614,13.182,23.57,63.128,6.312,150,tomato
24.19,9.947,14.01,23.682,67.366,6.294,149,tomato
26.499,10.172,15.255,23.857,67.331,6.3,148,tomato
26.834,10.32,16.916,23.434,67.394,6.289,148,tomato
26.14,10.018,13.352,23.903,64.222,6.302,150,tomato
26.284,10.503,13.974,23.329,63.156,6.293,150,tomato
24.823,9.414,16.183,23.066,65.24,6.291,148,tomato
26.641,10.924,13.826,23.095,64.201,6.308,149,tomato
26.566,9.918,16.629,23.903,63.098,6.309,150,tomato
26.098,10.549,16.929,23.441,64.935,6.305,151,tomato
26.412,9.584,15.472,23.932,64.61,6.311,149,tomato
24.81,10.353,14.768,23.02,64.898,6.308,149,tomato
25.177,9.638,13.019,23.689,64.741,6.305,151,tomato
23.807,10.048,15.968,23.781,64.902,6.303,150,tomato
24.154,10.277,13.677,23.397,64.074,6.291,151,tomato
26.386,9.77,16.986,23.169,65.383,6.295,148,tomato
26.622,10.313,15.744,23.949,66.247,6.305,150,tomato
24.518,9.993,16.101,23.946,67.477,6.306,150,tomato
25.974,9.388,16.346,23.631,65.041,6.311,148,tomato
25.551,10.394,16.706,23.271,65.585,6.288,148,tomato
24.192,10.0,14.967,23.1,66.839,6.305,151,tomato
23.574,10.179,16.548,23.114,66.936,6.297,149,tomato
24.247,10.078,14.628,23.423,65.274,6.289,148,tomato
26.038,9.117,13.412,23.171,66.795,6.31,150,tomato
26.233,9.348,15.34,23.899,66.851,6.288,150,tomato
25.467,10.587,16.257,23.09,67.347,6.292,151,tomato
23.561,10.222,14.136,23.532,64.273,6.303,148,tomato
25.953,10.831,14.772,23.82,65.53,6.291,148,tomato
24.019,9.07,16.107,23.873,65.13,6.295,148,tomato
23.232,10.68,13.001,23.226,65.267,6.308,148,tomato
26.792,10.541,14.911,23.892,67.409,6.31,150,tomato
24.578,9.608,15.346,23.03,65.17,6.294,150,tomato
26.983,10.027,16.465,23.756,65.926,6.305,148,tomato
25.8,10.465,15.726,23.347,67.314,6.307,150,tomato
25.115,9.67,15.509,23.565,66.942,6.288,151,tomato
25.651,10.186,14.475,23.669,65.396,6.311,149,tomato
23.768,10.514,13.769,23.044,63.612,6.289,149,tomato
26.099,9.89,16.562,23.382,66.092,6.307,151,tomato
23.272,10.305,16.304,23.855,62.983,6.302,151,tomato
23.671,9.98,14.814,23.717,63.355,6.291,149,tomato
25.551,9.155,15.637,23.138,66.689,6.308,149,tomato
25.954,9.001,14.216,23.6,64.212,6.302,148,tomato
23.246,10.292,16.333,23.709,63.546,6.293,151,tomato
25.9,9.934,15.458,23.72,65.731,6.29,150,tomato
24.396,9.149,13.191,23.082,65.147,6.309,148,tomato
23.539,10.088,13.378,23.261,67.128,6.3,150,tomato
25.419,9.921,15.68,23.633,63.119,6.308,149,tomato
23.573,10.744,14.754,23.771,67.025,6.31,148,tomato
24.82,10.955,14.837,23.596,63.774,6.294,148,tomato
23.814,9.988,16.286,23.33,67.02,6.288,148,tomato
23.051,9.207,14.785,23.609,64.328,6.3,150,tomato
25.501,9.188,14.245,23.022,65.934,6.297,148,tomato
24.378,9.48,13.861,23.396,66.298,6.306,148,tomato
23.863,10.211,16.205,23.259,66.338,6.296,148,tomato
26.029,9.942,16.701,23.563,64.024,6.308,148,tomato
25.207,9.019,15.856,23.619,64.469,6.308,149,tomato
26.408,10.013,13.505,23.221,67.335,6.292,149,tomato
25.608,10.807,14.477,23.748,63.643,6.302,149,tomato
23.323,9.086,14.239,23.064,64.058,6.289,148,tomato
23.172,10.859,13.751,23.302,64.079,6.294,149,tomato
19.383,6.813,16.024,21.852,61.172,5.758,501,potato
19.575,6.675,15.765,21.942,58.137,5.762,498,potato
21.629,6.838,14.3,21.852,60.766,5.738,499,potato
18.274,6.854,14.842,21.346,58.902,5.738,499,potato
19.07,8.266,15.397,21.114,62.448,5.755,501,potato
21.141,8.342,15.644,21.216,60.487,5.743,498,potato
20.201,6.625,14.712,21.897,62.221,5.745,499,potato
20.951,8.12,15.311,21.692,59.5,5.748,501,potato
21.302,7.726,16.467,21.69,58.143,5.761,499,potato
18.534,7.572,15.03,21.538,60.35,5.751,500,potato
20.879,6.765,14.242,21.856,58.574,5.757,501,potato
21.213,7.434,13.775,21.445,59.545,5.741,499,potato
20.212,8.273,15.7,21.18,60.111,5.749,500,potato
21.858,8.174,14.178,21.552,59.686,5.74,500,potato
18.602,7.439,15.055,21.683,60.482,5.761,499,potato
19.73,7.854,16.215,21.517,60.281,5.759,501,potato
20.003,7.706,14.413,21.788,60.552,5.756,500,potato
20.854,6.968,13.945,21.21,61.988,5.761,498,potato
21.962,7.539,16.48,21.209,58.847,5.758,501,potato
20.598,7.324,15.319,21.794,61.464,5.741,499,potato
18.999,8.08,15.714,21.575,60.66,5.746,500,potato
20.638,7.169,14.254,21.873,62.328,5.744,499,potato
20.019,7.709,14.331,21.2,61.928,5.748,498,potato
21.273,7.968,14.526,21.004,60.65,5.739,498,potato
18.748,6.813,14.513,21.52,60.676,5.752,500,potato
21.566,6.828,16.235,21.52,60.777,5.755,498,potato
19.095,8.478,14.009,21.969,59.061,5.746,498,potato
19.942,6.721,16.077,21.66,61.557,5.751,499,potato
20.75,7.392,15.655,21.561,58.635,5.746,500,potato
18.398,7.443,13.103,21.045,57.949,5.742,498,potato
18.299,7.874,15.199,21.343,62.068,5.739,499,potato
19.708,6.754,15.194,21.998,61.847,5.761,500,potato
